
="",="(1)",="(2)",="(3)",="(4)"
="",="",="",="",=""

="Number of members in the household",="3.98",="3.25",="4.34",="4.13"
="",="(2.606)",="(1.984)",="(2.846)",="(2.613)"

="Number of childeren below or equal to 5 years of age",="0.47",="0.40",="0.51",="0.47"
="",="(0.796)",="(0.726)",="(0.845)",="(0.781)"

="Number of Elderly (> 60 years)",="1.26",="1.15",="1.33",="1.28"
="",="(0.719)",="(0.629)",="(0.735)",="(0.762)"

="Annual food consumption value (USD)",="236.51",="131.74",="295.01",="247.86"
="",="(189.9)",="(129.9)",="(202.0)",="(177.4)"

="Annual food consumption value (USD) (Winsorized 0.05)",="227.85",="128.61",="281.52",="241.24"
="",="(161.3)",="(103.8)",="(164.5)",="(158.4)"

="Annual non-food consumption value (USD)",="54.34",="18.77",="71.64",="62.09"
="",="(92.88)",="(25.54)",="(101.4)",="(109.7)"

="Annual non-food consumption value (USD) (Winsorized 0.05)",="46.73",="18.63",="61.50",="51.17"
="",="(53.67)",="(24.30)",="(59.06)",="(55.22)"

="Farm area in acres",="1.99",="1.83",="2.06",="2.05"
="",="(2.662)",="(1.369)",="(3.422)",="(2.217)"

="Farm area in acres (Winsorized 0.05)",="1.81",="1.79",="1.82",="1.80"
="",="(1.309)",="(1.234)",="(1.329)",="(1.349)"

="Observations",="1758",="484",="769",="505"

