
="",="Food consumption (USD)"
="",="(1)",="(2)",="(3)"

="Treatment",="-16.65",="-19.08**",="-13.34"
="",="(9.05)",="(6.43)",="(9.79)"

="Number of members in the household",="",="17.59***",="30.23***"
="",="",="(4.58)",="(7.55)"

="Number of children between 6 to 17 years of age",="",="31.55***",="14.53"
="",="",="(5.66)",="(8.18)"

="Number of Adults (18-59 years)",="",="38.19***",="13.44"
="",="",="(6.45)",="(7.43)"

="Number of Elderly (> 60 years)",="",="28.03***",="0.00"
="",="",="(6.43)",="(.)"

="How many livestock does the HH own today?",="",="3.05***",="4.21***"
="",="",="(0.59)",="(0.84)"

="How many livestock did the HH own 12 months ago?",="",="2.13***",="1.68***"
="",="",="(0.38)",="(0.46)"

="Experienced drought/flood",="",="-15.95*",="-1.33"
="",="",="(6.74)",="(7.68)"

="Experienced crop damage",="",="13.94*",="13.13"
="",="",="(6.73)",="(6.66)"

="Mud/earth",="",="",="0.00"
="",="",="",="(.)"

="Concrete/Cement",="",="",="26.53"
="",="",="",="(24.33)"

="Mud",="",="",="0.00"
="",="",="",="(.)"

="Thatch",="",="",="21.26*"
="",="",="",="(10.35)"

="Iron sheets",="",="",="54.03***"
="",="",="",="(12.86)"

="Mud/Mud brick",="",="",="0.00"
="",="",="",="(.)"

="Concrete/Cement",="",="",="26.16"
="",="",="",="(27.13)"

="Wood/Bamboo",="",="",="5.56"
="",="",="",="(10.98)"

="Pipe bourne water treated",="",="",="0.00"
="",="",="",="(.)"

="Piped bourne water untreated",="",="",="12.30"
="",="",="",="(14.94)"

="Bore hole/hand pump",="",="",="-18.96"
="",="",="",="(13.99)"

="Covered Well",="",="",="-7.89"
="",="",="",="(26.21)"

="Uncovered Well",="",="",="-26.20*"
="",="",="",="(10.20)"

="Protected spring",="",="",="102.99"
="",="",="",="(74.94)"

="Unprotected spring",="",="",="-61.32***"
="",="",="",="(16.97)"

="Rain water",="",="",="-158.17***"
="",="",="",="(17.55)"

="River, lake, pond",="",="",="-9.04"
="",="",="",="(11.44)"

="Truck, vendor",="",="",="21.76"
="",="",="",="(33.63)"

="Other (specify)",="",="",="23.37"
="",="",="",="(23.83)"

="Kerosine/paraffin",="",="",="0.00"
="",="",="",="(.)"

="Gas",="",="",="47.42"
="",="",="",="(100.16)"

="Main electricity",="",="",="72.75"
="",="",="",="(41.94)"

="Solar panels/private generator",="",="",="85.35*"
="",="",="",="(37.13)"

="Battery",="",="",="-45.48*"
="",="",="",="(19.53)"

="Firewood",="",="",="-43.86***"
="",="",="",="(9.94)"

="Other (specify)",="",="",="-46.38"
="",="",="",="(72.81)"

="Catholic",="",="",="0.00"
="",="",="",="(.)"

="Protestant",="",="",="-21.50*"
="",="",="",="(10.07)"

="Other Christian",="",="",="-28.77*"
="",="",="",="(12.50)"

="Muslim",="",="",="20.88*"
="",="",="",="(10.42)"

="Traditionalist",="",="",="25.94"
="",="",="",="(15.05)"

="No Religion",="",="",="-41.41*"
="",="",="",="(18.52)"

="No",="",="",="0.00"
="",="",="",="(.)"

="Yes",="",="",="0.97"
="",="",="",="(8.31)"

="Number of childeren below or equal to 5 years of age",="",="",="-7.07"
="",="",="",="(8.95)"

="In general, can you trust members of your community?",="",="",="3.04"
="",="",="",="(8.29)"

="In general, can you trust leaders of your community?",="",="",="-17.50"
="",="",="",="(9.60)"

="Is there a parent association in this village?",="",="",="-21.10*"
="",="",="",="(9.77)"

="Is there a village health commitee in this village?",="",="",="10.42"
="",="",="",="(8.10)"

="Maize",="",="",="0.00"
="",="",="",="(.)"

="Banana",="",="",="45.60"
="",="",="",="(41.74)"

="Cashew nut",="",="",="19.50"
="",="",="",="(29.25)"

="Cassava",="",="",="20.59"
="",="",="",="(15.42)"

="Sweet potatoes",="",="",="30.78"
="",="",="",="(57.69)"

="Groundnuts",="",="",="-1.58"
="",="",="",="(13.44)"

="Paddy",="",="",="4.18"
="",="",="",="(14.18)"

="Millet",="",="",="-30.81"
="",="",="",="(39.42)"

="Sorghum",="",="",="14.92"
="",="",="",="(13.52)"

="Beans",="",="",="-9.10"
="",="",="",="(19.61)"

="Pigeon pea",="",="",="-3.86"
="",="",="",="(28.32)"

="Cotton",="",="",="42.12*"
="",="",="",="(17.33)"

="Sugar cane",="",="",="85.87"
="",="",="",="(71.68)"

="Okra",="",="",="29.36"
="",="",="",="(27.26)"

="Tomato",="",="",="48.91"
="",="",="",="(51.92)"

="Fallow",="",="",="-63.45**"
="",="",="",="(21.14)"

="Assorted fruits",="",="",="127.05"
="",="",="",="(84.56)"

="Other vegetables",="",="",="113.58*"
="",="",="",="(46.40)"

="Other pulses",="",="",="-5.63"
="",="",="",="(12.85)"

="Sunflower",="",="",="-36.66*"
="",="",="",="(17.75)"

="Coconut",="",="",="-16.64"
="",="",="",="(27.70)"

="Sesame",="",="",="-12.24"
="",="",="",="(17.16)"

="<none>",="",="",="-7.27"
="",="",="",="(12.64)"

="Constant",="244.85***",="41.66***",="49.05*"
="",="(6.40)",="(9.28)",="(22.73)"

="Observations",="1758",="1758",="1339"
="Clustering",="No",="No",="Yes"

="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
